game_name,reviews_like_rate,all_reviews_number_k,release_date,developer,user_defined_tags,supported_os,supported_languages,price,other_features,age_restriction,rating,difficulty,length,estimated_downloads_k,day,month,year,total_revenue_million,main_tag,main_feature,reviews_like_rate_MinMax,all_reviews_number_MinMax,price_MinMax,difficulty_MinMax,age_restriction_MinMax,rating_MinMax,length_MinMax,estimated_downloads_MinMax,total_revenue_MinMax,developer_Cod,main_tag_Cod,main_feature_Cod,supported_os_Cod,generation
Counter-Strike 2,86,8803.75,2012-08-21,Valve,"FPS, Action, Tactical","win, linux","English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese, Indonesian",0.0,"Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Steam Timeline",17,3.2,4,80,306170.0,21,8,2012,0.0,FPS,Cross-Platform Multiplayer,0.825,1.0000000000000002,0.0,0.75,1.0,0.6328828828828829,1.0,1.0,0.0,1630,14,0,1,8
PUBG: BATTLEGROUNDS,59,2554.48,2017-12-21,PUBG Corporation,"Survival, Shooter, Action, Tactical",win,"English, Korean, Simplified Chinese, French, German, Spanish - Spain, Arabic, Japanese, Polish, Portuguese - Portugal, Russian, Turkish, Thai, Italian, Portuguese - Brazil, Traditional Chinese, Ukrainian",0.0,"Online PvP, Stats, Remote Play on Phone, Remote Play on Tablet",13,3.1,4,73,162350.0,21,12,2017,0.0,Survival,Online PvP,0.48750000000000004,0.2901573649380832,0.0,0.75,0.7647058823529411,0.6103603603603603,0.9113924050632912,0.5302608280480601,0.0,1115,37,4,0,8
ELDEN RING NIGHTREIGN,77,53.43,2025-05-30,"FromSoftware, Inc.","Souls-like, Open World, Fantasy, RPG",win,"English, Japanese, French, Italian, German, Spanish - Spain, Arabic, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese",25.99,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",17,3.96,4,50,840.0,30,5,2025,21.83,Souls-like,Single-player,0.7125,0.006067875698282776,0.32491561445180644,0.75,1.0,0.804054054054054,0.6202531645569621,0.0027432806835916697,0.00442727346475217,587,32,7,0,9
The Last of Us™ Part I,79,45.42,2023-03-28,Naughty Dog LLC,"Story Rich, Shooter, Survival, Horror",win,"English, Italian, Spanish - Spain, Czech, Dutch, Greek, French, German, Danish, Finnish, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Croatian",59.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",17,4.1,3,24,2000.0,28,3,2023,119.98,Story Rich,Single-player,0.7375,0.005158035107806456,0.7499687460932617,0.5,1.0,0.8355855855855854,0.2911392405063291,0.00653202661228205,0.02433276547416241,1016,35,7,0,9
Red Dead Redemption 2,92,672.14,2019-12-05,Rockstar Games,"Open World, Story Rich, Adventure, Realistic, Shooter, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",59.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",17,4.32,3,80,21610.0,5,12,2019,1296.38,Open World,Single-player,0.9000000000000001,0.07634596205703485,0.7499687460932617,0.5,1.0,0.8851351351351351,1.0,0.0705814297688496,0.26291474000162246,1268,21,7,0,8
Dota 2,81,2497.04,2013-07-09,Valve,"Strategy, Action, Combat","win, mac, linux","English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese",0.0,"Steam Trading Cards, Steam Workshop, SteamVR Collectibles, In-App Purchases, Steam Timeline",13,3.71,4,80,234950.0,9,7,2013,0.0,Strategy,Steam Trading Cards,0.7625,0.28363286512323177,0.0,0.75,0.7647058823529411,0.7477477477477477,1.0,0.7673840646195441,0.0,1630,36,8,4,8
EA SPORTS FC™ 25,49,67.6,2024-09-27,EA Canada,"Sports, Simulation, Realistic",win,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Danish, Dutch, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish",69.99,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Remote Play Together, HDR available",0,3.2,3,48,2320.0,27,9,2024,162.38,Sports,Single-player,0.36250000000000004,0.007677418915142882,0.8749843730466308,0.5,0.0,0.6328828828828829,0.5949367088607596,0.007577197902955258,0.03293177577675022,475,33,7,0,9
Project Zomboid,94,284.98,2013-11-08,The Indie Stone,"Early Access, RPG, Simulation, Survival, Open World, 2D","win, mac, linux","English, French, Italian, German, Spanish - Spain, Danish, Dutch, Hungarian, Norwegian, Polish, Portuguese - Portugal, Russian, Turkish, Japanese, Simplified Chinese, Portuguese - Brazil, Finnish, Korean, Thai, Traditional Chinese, Ukrainian",10.49,"Single-player, Online PvP, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, Remote Play Together, Family Sharing",17,3.66,4,59,21370.0,8,11,2013,224.17,Early Access,Single-player,0.925,0.032369197636459054,0.13114139267408426,0.75,1.0,0.7364864864864864,0.7341772151898734,0.0697975513008447,0.04546321083799789,1544,13,7,4,8
Game of Thrones: Kingsroad,61,2.67,2025-05-22,Netmarble Neo,"Action, Adventure, RPG, Open World, Fantasy",win,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Turkish",0.0,"Single-player, Online Co-op, In-App Purchases",17,3.4,3,42,361.5,22,5,2025,0.0,Action,Single-player,0.5125000000000001,0.00030214431593845347,0.0,0.5,1.0,0.6779279279279279,0.5189873417721519,0.001180422988006888,0.0,1022,2,7,0,9
Rust,87,1018.25,2018-02-08,Facepunch Studios,"Survival, Crafting, Open World, RPG, Sandbox","win, mac","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Ukrainian, Polish, Portuguese - Portugal, Turkish, Arabic, Czech, Danish, Dutch, Finnish, Greek, Norwegian, Portuguese - Brazil, Spanish - Latin America, Swedish, Traditional Chinese, Vietnamese",18.99,"MMO, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Stats, Remote Play on Tablet",17,3.2,4,65,36400.0,8,2,2018,691.24,Survival,MMO,0.8375000000000001,0.11565993543653039,0.23740467558444803,0.75,1.0,0.6328828828828829,0.810126582278481,0.11888794035965194,0.14018820475379248,537,37,2,3,8
F1® 25,88,0.39,2025-05-30,Codemasters,"Driving, Sports, Simulation",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America",59.99,"Single-player, Online PvP, LAN PvP, Shared/Split Screen PvP, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, VR Supported, Steam Workshop, In-App Purchases, Steam Cloud, HDR available, Family Sharing",0,3.8,4,18,30.8,30,5,2025,1.85,Driving,Single-player,0.8500000000000001,4.316347370549335e-05,0.7499687460932617,0.75,0.0,0.768018018018018,0.2151898734177215,0.00010030378230179446,0.0003751926665044212,315,12,7,0,9
Dead by Daylight,79,578.4,2016-06-14,Behaviour Interactive Inc.,"Horror, Survival, Stealth",win,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Thai, Traditional Chinese, Japanese, Korean, Polish, Spanish - Latin America, Turkish",14.99,"Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",17,3.42,4,65,301.0,14,6,2016,4.51,Horror,Online PvP,0.7375,0.06569821462242183,0.1873984248031004,0.75,1.0,0.6824324324324323,0.810126582278481,0.0009828202908639845,0.0009146588788837511,167,17,4,0,8
RoadCraft,72,5.13,2025-05-20,Saber Interactive,"Simulation, Building, Driving",win,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Traditional Chinese, Polish, Portuguese - Brazil, Russian, Czech, Korean, Arabic, Turkish, Japanese",27.99,"Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,3.2,3,26,325.9,20,5,2025,9.12,Simulation,Single-player,0.65,0.0005815710141371735,0.3499187398424803,0.5,0.0,0.6328828828828829,0.3164556962025316,0.0010641476819194936,0.0018495984424434168,1306,31,7,0,9
Football Manager 2024,90,13.44,2023-11-06,Sports Interactive,"Simulation, Sports, Management, Strategy","win, mac","English, French, Italian, German, Spanish - Spain, Danish, Dutch, Greek, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Swedish, Turkish",39.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,3.43,4,73,1340.0,6,11,2023,53.59,Simulation,Single-player,0.875,0.001525488031223094,0.49993749218652334,0.75,0.0,0.6846846846846847,0.9113924050632912,0.0043763608252685585,0.010868418917822666,1406,31,7,3,9
R.E.P.O.,96,147.41,2025-02-26,semiwork,"Early Access, Horror",win,English,5.79,"Single-player, Online Co-op, Steam Cloud, Family Sharing",10,3.58,4,54,12950.0,26,2,2025,74.98,Early Access,Single-player,0.9500000000000002,0.01674288427418347,0.07238404800600075,0.75,0.5882352941176471,0.7184684684684685,0.6708860759493671,0.04229648171500589,0.015206457370000813,1766,13,7,0,9
