game_name,reviews_like_rate,all_reviews_number_k,release_date,developer,user_defined_tags,supported_os,supported_languages,price,other_features,age_restriction,rating,difficulty,length,estimated_downloads_k,day,month,year,total_revenue_million,main_tag,main_feature,reviews_like_rate_MinMax,all_reviews_number_MinMax,price_MinMax,difficulty_MinMax,age_restriction_MinMax,rating_MinMax,length_MinMax,estimated_downloads_MinMax,total_revenue_MinMax,developer_Cod,main_tag_Cod,main_feature_Cod,supported_os_Cod,generation
ELDEN RING NIGHTREIGN,77,53.43,2025-05-30,"FromSoftware, Inc.","Souls-like, Open World, Fantasy, RPG",win,"English, Japanese, French, Italian, German, Spanish - Spain, Arabic, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese",25.99,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",17,3.96,4,50,840.0,30,5,2025,21.83,Souls-like,Single-player,0.7125,0.0060678756982827,0.3249156144518064,0.75,1.0,0.804054054054054,0.6202531645569621,0.0027432806835916,0.0044272734647521,587,32,7,0,9
The Last of Us™ Part I,79,45.42,2023-03-28,Naughty Dog LLC,"Story Rich, Shooter, Survival, Horror",win,"English, Italian, Spanish - Spain, Czech, Dutch, Greek, French, German, Danish, Finnish, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Croatian",59.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",17,4.1,3,24,2000.0,28,3,2023,119.98,Story Rich,Single-player,0.7375,0.0051580351078064,0.7499687460932617,0.5,1.0,0.8355855855855854,0.2911392405063291,0.006532026612282,0.0243327654741624,1016,35,7,0,9
Red Dead Redemption 2,92,672.14,2019-12-05,Rockstar Games,"Open World, Story Rich, Adventure, Realistic, Shooter, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",59.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",17,4.32,3,80,21610.0,5,12,2019,1296.38,Open World,Single-player,0.9000000000000001,0.0763459620570348,0.7499687460932617,0.5,1.0,0.8851351351351351,1.0,0.0705814297688496,0.2629147400016224,1268,21,7,0,8
EA SPORTS FC™ 25,49,67.6,2024-09-27,EA Canada,"Sports, Simulation, Realistic",win,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Danish, Dutch, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish",69.99,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Remote Play Together, HDR available",0,3.2,3,48,2320.0,27,9,2024,162.38,Sports,Single-player,0.3625,0.0076774189151428,0.8749843730466308,0.5,0.0,0.6328828828828829,0.5949367088607596,0.0075771979029552,0.0329317757767502,475,33,7,0,9
Project Zomboid,94,284.98,2013-11-08,The Indie Stone,"Early Access, RPG, Simulation, Survival, Open World, 2D","win, mac, linux","English, French, Italian, German, Spanish - Spain, Danish, Dutch, Hungarian, Norwegian, Polish, Portuguese - Portugal, Russian, Turkish, Japanese, Simplified Chinese, Portuguese - Brazil, Finnish, Korean, Thai, Traditional Chinese, Ukrainian",10.49,"Single-player, Online PvP, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, Remote Play Together, Family Sharing",17,3.66,4,59,21370.0,8,11,2013,224.17,Early Access,Single-player,0.925,0.032369197636459,0.1311413926740842,0.75,1.0,0.7364864864864864,0.7341772151898734,0.0697975513008447,0.0454632108379978,1544,13,7,4,8
Rust,87,1018.25,2018-02-08,Facepunch Studios,"Survival, Crafting, Open World, RPG, Sandbox","win, mac","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Ukrainian, Polish, Portuguese - Portugal, Turkish, Arabic, Czech, Danish, Dutch, Finnish, Greek, Norwegian, Portuguese - Brazil, Spanish - Latin America, Swedish, Traditional Chinese, Vietnamese",18.99,"MMO, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Stats, Remote Play on Tablet",17,3.2,4,65,36400.0,8,2,2018,691.24,Survival,MMO,0.8375000000000001,0.1156599354365303,0.237404675584448,0.75,1.0,0.6328828828828829,0.810126582278481,0.1188879403596519,0.1401882047537924,537,37,2,3,8
F1® 25,88,0.39,2025-05-30,Codemasters,"Driving, Sports, Simulation",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America",59.99,"Single-player, Online PvP, LAN PvP, Shared/Split Screen PvP, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, VR Supported, Steam Workshop, In-App Purchases, Steam Cloud, HDR available, Family Sharing",0,3.8,4,18,30.8,30,5,2025,1.85,Driving,Single-player,0.8500000000000001,4.316347370549335e-05,0.7499687460932617,0.75,0.0,0.768018018018018,0.2151898734177215,0.0001003037823017,0.0003751926665044,315,12,7,0,9
Dead by Daylight,79,578.4,2016-06-14,Behaviour Interactive Inc.,"Horror, Survival, Stealth",win,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Thai, Traditional Chinese, Japanese, Korean, Polish, Spanish - Latin America, Turkish",14.99,"Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",17,3.42,4,65,301.0,14,6,2016,4.51,Horror,Online PvP,0.7375,0.0656982146224218,0.1873984248031004,0.75,1.0,0.6824324324324323,0.810126582278481,0.0009828202908639,0.0009146588788837,167,17,4,0,8
RoadCraft,72,5.13,2025-05-20,Saber Interactive,"Simulation, Building, Driving",win,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Traditional Chinese, Polish, Portuguese - Brazil, Russian, Czech, Korean, Arabic, Turkish, Japanese",27.99,"Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,3.2,3,26,325.9,20,5,2025,9.12,Simulation,Single-player,0.65,0.0005815710141371,0.3499187398424803,0.5,0.0,0.6328828828828829,0.3164556962025316,0.0010641476819194,0.0018495984424434,1306,31,7,0,9
Football Manager 2024,90,13.44,2023-11-06,Sports Interactive,"Simulation, Sports, Management, Strategy","win, mac","English, French, Italian, German, Spanish - Spain, Danish, Dutch, Greek, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Swedish, Turkish",39.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,3.43,4,73,1340.0,6,11,2023,53.59,Simulation,Single-player,0.875,0.001525488031223,0.4999374921865233,0.75,0.0,0.6846846846846847,0.9113924050632912,0.0043763608252685,0.0108684189178226,1406,31,7,3,9
